City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dongcun,36.7767,121.1597,14.590000000000032,76,30,3.02,CN,1713780450
1,mata-utu,-13.2816,-176.1745,29.680000000000007,75,99,2.49,WF,1713779898
2,punta arenas,-53.15,-70.9167,6.060000000000002,75,75,4.63,CL,1713780450
3,kodiak,57.79,-152.4072,2.730000000000018,93,100,1.54,US,1713780450
4,jamestown,42.097,-79.2353,0.8000000000000114,90,0,3.09,US,1713780451
5,bethel,41.3712,-73.414,3.6899999999999977,74,29,0.45,US,1713779978
6,iqaluit,63.7506,-68.5145,-20.169999999999987,76,40,1.79,CA,1713780451
7,bardai,11.65,7.2333,35.58000000000004,28,95,3.61,NG,1713780451
8,port-aux-francais,-49.35,70.2167,5.360000000000014,81,14,11.24,TF,1713780452
9,swakopmund,-22.6833,14.5333,21.120000000000005,59,1,4.7,NA,1713780452
10,kananga,-5.8958,22.4178,31.430000000000007,51,47,2.38,CD,1713780452
11,grytviken,-54.2811,-36.5092,0.18999999999999773,79,62,9.81,GS,1713780453
12,motueka,-41.1333,173.0167,13.390000000000043,88,74,0.13,NZ,1713780451
